,Target,Weight,Count,User Weight,User Score,Score Diff,Score Diff z-score
1915,Sweat Punch,0.004229607250755287,1,0.008459214501510574,7.0,-1.6310000000000002,-1.6628836010825185
1916,Switch,0.021148036253776436,1,0.04229607250755287,7.0,-1.6310000000000002,-1.6628836010825185
1917,Sword Art Online,7.658226135759949,31,19.829950986588415,8.064516129032258,0.21190322580645216,-0.0896958151300187
1918,Sword Art Online Alternative: Gun Gale Online,0.5971130627374379,3,1.7998446560130428,8.333333333333334,0.5490000000000004,0.19806564755514858
1919,Sword Art Online II,0.2297739049923092,4,0.8633939638307724,7.75,-0.12600000000000122,-0.378145702367066
1920,Sword Art Online Movie: Ordinal Scale,0.06481481481481481,1,0.25925925925925924,9.0,0.9190000000000005,0.5139148319569544
1921,Sword Art Online: Alicization,0.1644248142205638,4,0.48080563966742923,7.75,-0.3185000000000002,-0.5424726429004371
1922,Tabi Machi Late Show,0.08293460925039872,2,0.2488038277511962,8.0,-0.031000000000000583,-0.297049290155791
1923,Taboo Tattoo,0.02611940298507463,1,0.05223880597014926,7.0,-0.7610000000000001,-0.9202111945161102
1924,Tactics,0.03359397132982039,2,0.1301320188112641,9.0,0.7289999999999992,0.3517220075344044
1925,Tada-kun wa Koi wo Shinai,0.4225260905206621,4,1.2901378741469915,8.75,0.9339999999999993,0.5267195286218915
1926,Taichi Senjimon,0.24137931034482754,1,1.2068965517241377,10.0,3.659,2.852906089418975
1927,Taifuu no Noruda,0.12232036285509666,2,0.41441871568393407,9.0,0.34399999999999764,0.023068126467659263
1928,Taimadou Gakuen 35 Shiken Shoutai,0.021406727828746176,1,0.06422018348623854,8.0,0.12899999999999956,-0.16046585906311814
1929,Taisei Kensetsu: Shin Doha Kokusai Kuukou,0.030303030303030304,1,0.09090909090909091,8.0,0.2990000000000004,-0.015345963527152616
1930,Taishou Yakyuu Musume.,0.5512352610892758,2,-1.5515160022459296,6.0,-0.7859999999999996,-0.9415523556243399
1931,Taisou Zamurai,0.1627906976744186,1,0.6511627906976744,9.0,0.988999999999999,0.5736700830599974
1932,Takahashi Rumiko Gekijou Ningyo no Mori,0.06772196889574701,2,0.1342302824349394,8.0,-0.3260000000000005,-0.5488749912329064
1933,Tales of Symphonia The Animation: Sekai Tougou-hen,0.028925619834710745,1,0.05785123966942149,7.0,-1.3309999999999995,-1.4067896677837564
1934,Tales of Symphonia The Animation: Sylvarant-hen,0.05951806110130932,3,0.1338982263905655,7.0,-1.0210000000000008,-1.142159270041704
1935,Tales of Vesperia: The First Strike,0.00850546780072904,1,0.03402187120291616,9.0,0.49900000000000055,0.15538332533868848
1936,Tales of Zestiria the Cross,0.15661734667547583,4,0.24661964073483827,6.25,-1.641,-1.6714200655258102
1937,Tales of Zestiria the Cross 2nd Season,1.0,1,2.0,7.0,-0.6310000000000002,-0.8092371567533135
1938,Tales of Zestiria: Doushi no Yoake,0.007865168539325843,1,0.007865168539325843,6.0,-1.2309999999999999,-1.3214250233508362
1939,Tales of the Abyss,0.017857142857142853,1,0.035714285714285705,7.0,-0.641,-0.8177736211966055
1940,Tamako Love Story,2.694529399635795,5,13.472646998178977,10.0,1.495000000000001,1.0056151838905767
1941,Tamako Market,0.7163699141708899,6,3.2032288765425165,9.0,0.9640000000000004,0.5523289219517686
1942,Tamayomi,0.35000000000000003,1,0.35000000000000003,6.0,-0.9110000000000005,-1.0482581611654913
1943,Tamayura,0.012773722627737228,1,0.06386861313868614,10.0,2.159,1.5724364229251677
1944,Tamayura: Hitotose,0.09842416949963395,3,0.3538388216789046,9.0,0.7923333333333336,0.4057862823419216
1945,Tanaka-kun wa Itsumo Kedaruge,0.20252811222958916,4,0.946809840144811,9.25,1.2914999999999992,0.8318981324695821
1946,Tanken Driland,0.02938926806307366,2,0.09337491174393973,8.5,0.13899999999999935,-0.15192939461982627
1947,Tanoshii Muumin Ikka,0.0267175572519084,1,0.13358778625954199,10.0,1.2690000000000001,0.8126910874721758
1948,Tantei Gakuen Q,0.2789128224091707,2,1.3945641120458534,10.0,2.7639999999999993,2.088892521744336
1949,Tantei Opera Milky Holmes,0.030317582276860038,2,0.15158791138430017,10.0,2.0090000000000003,1.4443894562757875
1950,Tari Tari,0.9755791877522426,7,4.271513747019582,9.142857142857142,0.9947142857142843,0.5785480627418783
1951,Tasogare Otome x Amnesia,0.07359917556948875,4,0.35197757121128814,9.5,1.5614999999999997,1.0623826724384677
1952,Tatakae!! Iczer-1,0.008871989860583013,1,0.044359949302915064,10.0,1.6790000000000003,1.1626861296471498
1953,Tatakau Shisho: The Book of Bantorra,0.045552698219508844,2,0.140986631593412,8.5,-0.2560000000000002,-0.48911974012986176
1954,Tate no Yuusha no Nariagari,2.8560635994851524,15,9.055616455532677,8.533333333333333,0.5109999999999992,0.16562708267063783
1955,Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari,0.15949163933275154,3,0.6701854693910304,9.666666666666666,1.5923333333333325,1.0887034378052844
1956,Tayutama: Kiss on My Deity,0.027450980392156855,1,0.05490196078431371,7.0,-0.30100000000000016,-0.5275338301246759
